Location,UPC,Model,Description,Qty on Hand,Qty Allocated,Qty Backordered,Net Stock
Green Bay,860012898657,B12-10R,MOTOROLA B12-10R B12 CABLE MODEM RENEWED,0,0,0,0
Green Bay,860012898602,MQ20-80W-U,MOTOROLA MQ2080WU WIFI ROUTER 6E 1PK WH,3313,0,0,3313
Green Bay,855631006170,MB8600-10,MOTOROLA MB8600 DOCSIS 3.1 MODEM + WIFI,0,0,0,0
Green Bay,855631006330,MT7711-10,MOTOROLA MT7711-10 24X8 CABLE MODEM,762,0,0,762
Green Bay,860012898626,MQ20-D80B-U,MOTOROLA MQ20D80BU WIFI ROUTER 6E 2PKBLK,3,0,0,3
Green Bay,656942315964,MG8702-10R,MOTOROLA MG8702-10R 3.1 CABLE MODEM+WIFI,0,0,0,0
Green Bay,850030782045,B12-30-10,MOTOROLA B123010 B12 CABLE MODEM,9572,32,0,9540
Green Bay,855631006804,MG8702-10S,MOTOROLA MG870210S 3.1 CABLE MODEM+WIFI,7061,100,0,6961
Green Bay,855631006347,MB7621-10,MOTOROLA MB7621-10 24X8 CABLE MODEM CATV,48,0,0,48
Green Bay,860012898619,MQ20-80B-U,MOTOROLA MQ2080BU WIFI ROUTER 6E 1PK BLK,3507,0,0,3507
Green Bay,748926586191,MB8600-10R,MOTOROLA MB860010R DOCSIS 3.1 MODEM+WIFI,0,0,0,0
Green Bay,855631006354,MG7700-10,MOTOROLA MG7700-10 MODEM W/BUILT IN WIFI,0,0,0,0
Green Bay,855631006644,MB8611-10,MOTOROLA MB8611-10 DOCSIS 3.1 MODEM+WIFI,0,0,0,0
Green Bay,649661877790,MB8611-10R,MOTOROLA MB861110R DOCSIS 3.1 MODEM+WIFI,0,0,0,0
Green Bay,649661190738,MG7700-10R,MOTOROLA MG770010R MODEM W/BUILT IN WIFI,0,0,0,0
Green Bay,753575351786,MT7711-10R,MOTOROLA MT7711-10R 24X8 CABLE MODEM,0,0,0,0
Green Bay,860012898633,MQ20-D80W-U,MOTOROLA MQ20D80WU WIFI ROUTER 6E 2PK W,1379,0,0,1379
Green Bay,753575417048,MB7621-10R,MOTOROLA MB7621-10R 24X8 CABLE MODEM RNW,0,0,0,0
