State,Campaigns,Country,Status,Type,Targeting,Retailer,Portfolio,Campaign bidding strategy,Start date,End date,Avg. time in budget,Budget (converted),Budget,Cost type,Impressions,Top-of-search impression share,Top-of-search bid adjustment,Clicks,CTR,Spend (converted),Spend,CPC (converted),CPC,Detail page views,Orders,Sales (converted),Sales,ACOS,ROAS,NTB orders,% of orders NTB,NTB sales (converted),NTB sales,% of sales NTB,Long-term sales (converted),Long-term sales,Long-term ROAS,Cumulative reach,Household reach,Viewable impressions,CPM (converted),CPM,VCPM (converted),VCPM,Video first quartile,Video midpoint,Video third quartile,Video complete,Video unmute,VTR,vCTR
ENABLED,SP | MQ20 | Category Extended,United States,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Amazon,,Dynamic bidding (up and down),10/07/2025,,100,$65.00,$65.00,CPC,22281,<5%,0,87,0.0039,$90.85,$90.85,$1.04,$1.04,0,1,$249.00,$249.00,0.3649,2.740781507980187,0,0,$0.00,$0.00,0,$0.00,$249.67,0,,,0,$4.08,$4.08,$0.00,$0.00,0,0,0,0,0,0,0.0039
PAUSED,SP | MB7621 | Auot,Canada,ADVERTISER_PAYMENT_FAILURE,SP,AUTOMATIC,Amazon,,Dynamic bidding (up and down),09/19/2025,,,$10.70,CA$15.00,CPC,0,0,0,0,0,$0.00,CA$0.00,$0.00,CA$0.00,0,0,$0.00,CA$0.00,0,0,0,0,$0.00,CA$0.00,0,$0.00,CA$0.00,0,,,0,$0.00,CA$0.00,$0.00,CA$0.00,0,0,0,0,0,0,0
ENABLED,MG | 8702 | Auto,Canada,ADVERTISER_PAYMENT_FAILURE,SP,AUTOMATIC,Amazon,,Dynamic bidding (up and down),09/19/2025,,100,$10.70,CA$15.00,CPC,141,6.35%,0,0,0,$0.00,CA$0.00,$0.00,CA$0.00,0,0,$0.00,CA$0.00,0,0,0,0,$0.00,CA$0.00,0,$0.00,CA$0.00,0,,,0,$0.00,CA$0.00,$0.00,CA$0.00,0,0,0,0,0,0,0
ENABLED,SP | MQ20 | Auto,Canada,ADVERTISER_PAYMENT_FAILURE,SP,AUTOMATIC,Amazon,,Dynamic bidding (up and down),09/19/2025,,100,$14.26,CA$20.00,CPC,27953,8.63%,0,34,0.0012,$42.10,CA$59.03,$1.24,CA$1.74,0,0,$0.00,CA$0.00,0,0,0,0,$0.00,CA$0.00,0,$0.00,CA$0.00,0,,,0,$1.51,CA$2.11,$0.00,CA$0.00,0,0,0,0,0,0,0.0012
ENABLED,SP | B12 | Auto,Canada,ADVERTISER_PAYMENT_FAILURE,SP,AUTOMATIC,Amazon,,Dynamic bidding (up and down),09/19/2025,,100,$10.70,CA$15.00,CPC,707,<5%,0,2,0.0028,$0.78,CA$1.09,$0.39,CA$0.55,0,0,$0.00,CA$0.00,0,0,0,0,$0.00,CA$0.00,0,$0.00,CA$0.00,0,,,0,$1.10,CA$1.54,$0.00,CA$0.00,0,0,0,0,0,0,0.0028
PAUSED,SP | MQ20 | Kw Targeting,United States,CAMPAIGN_PAUSED,SP,MANUAL,Amazon,,Dynamic bidding (up and down),09/02/2025,,24.18343763428121,$25.00,$25.00,CPC,44465,<5%,0,83,0.0019,$341.53,$341.53,$4.11,$4.11,0,0,$0.00,$0.00,0,0,0,0,$0.00,$0.00,0,$0.00,$0.00,0,,,0,$7.68,$7.68,$0.00,$0.00,0,0,0,0,0,0,0.0019
ENABLED,SP | MQ20 | NETGEAR Target,United States,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Amazon,,Dynamic bidding (up and down),09/02/2025,,88.85117911217912,$25.00,$25.00,CPC,111445,<5%,0,654,0.0059,$966.38,$966.38,$1.48,$1.48,0,12,"$2,689.90","$2,689.90",0.3593,2.7834806183902807,0,0,$0.00,$0.00,0,$0.00,"$2,938.14",0,,,0,$8.67,$8.67,$0.00,$0.00,0,0,0,0,0,0,0.0059
ENABLED,SP | MQ20 | Category Target,United States,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Amazon,,Dynamic bidding (up and down),09/02/2025,,90.93056719516944,$15.00,$15.00,CPC,102116,<5%,0,424,0.0042,$494.60,$494.60,$1.17,$1.17,0,1,$179.99,$179.99,2.7479,0.3639102304892843,0,0,$0.00,$0.00,0,$0.00,$180.02,0,,,0,$4.84,$4.84,$0.00,$0.00,0,0,0,0,0,0,0.0042
ENABLED,SP | MQ20 | Auto,United States,CAMPAIGN_STATUS_ENABLED,SP,AUTOMATIC,Amazon,,Dynamic bidding (up and down),09/02/2025,,85.73699174718196,$25.00,$25.00,CPC,209850,<5%,0,973,0.0046,"$1,109.82","$1,109.82",$1.14,$1.14,0,9,"$2,441.94","$2,441.94",0.4545,2.2003027517975884,0,0,$0.00,$0.00,0,$0.00,"$2,442.41",0,,,0,$5.29,$5.29,$0.00,$0.00,0,0,0,0,0,0,0.0046
ENABLED,SP | MG8702 | Auto,United States,CAMPAIGN_OUT_OF_BUDGET,SP,AUTOMATIC,Amazon,,Dynamic bidding (up and down),08/04/2025,,69.20851851851852,$120.00,$120.00,CPC,1314330,<5%,0,4463,0.0034,"$8,476.50","$8,476.50",$1.90,$1.90,0,101,"$23,530.45","$23,530.45",0.3602,2.775962956408895,0,0,$0.00,$0.00,0,$0.00,"$24,329.68",0,,,0,$6.45,$6.45,$0.00,$0.00,0,0,0,0,0,0,0.0034
